id,tname,tauthor,worms_id,rank_name,phylum,class,order,family,genus,species,redlist,gisd,hab,status
513852,Sterna hirundo,"Linnaeus, 1758",137162,Species,Chordata,Aves,Charadriiformes,Sternidae,Sterna,Sterna hirundo,t,,,LC
518503,Thalassarche bulleri,"(Rothschild, 1893)",225776,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche bulleri,t,,,NT
518504,Thalassarche carteri,"(Rothschild, 1903)",225758,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche carteri,t,,,EN
518507,Thalassarche chrysostoma,"(Forster, 1785)",225760,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche chrysostoma,t,,,EN
535486,Bathyplotes gourdoni,"(Vaney, 1914)",174125,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Bathyplotes,Bathyplotes gourdoni,t,,,DD
564817,Bathyplotes bongraini,"Vaney, 1914",174113,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Bathyplotes,Bathyplotes bongraini,t,,,DD
602214,Aptenodytes forsteri,"Gray, 1844",225773,Species,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,t,,,NT
619901,Daption capense,"(Linnaeus, 1758)",212640,Species,Chordata,Aves,Procellariiformes,Procellariidae,Daption,Daption capense,t,,,LC
621316,Diomedea exulans,"Linnaeus, 1758",212583,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,Diomedea exulans,t,,,VU
625820,Euphausia superba,"Dana, 1850",236217,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia superba,t,,,LC
627420,Fregetta tropica,"(Gould, 1844)",212696,Species,Chordata,Aves,Procellariiformes,Hydrobatidae,Fregetta,Fregetta tropica,t,,,LC
628066,Galaxias maculatus,"(Jenyns, 1842)",280811,Species,Chordata,Actinopteri,Osmeriformes,Galaxiidae,Galaxias,Galaxias maculatus,t,,,LC
637025,Lagenorhynchus cruciger,"(Quoy & Gaimard, 1824)",383563,Species,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus cruciger,t,,,LC
645385,Molpadiodemas morbillus,"O'Loughlin & Ahearn, 2005",389597,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Molpadiodemas,Molpadiodemas morbillus,t,,,DD
645388,Molpadiodemas translucens,"O'Loughlin & Ahearn, 2005",389600,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Molpadiodemas,Molpadiodemas translucens,t,,,DD
650174,Oceanites oceanicus,"(Kuhl, 1820)",137190,Species,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites,Oceanites oceanicus,t,,,LC
652943,Pachyptila vittata,"(Forster, 1777)",212647,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila vittata,t,,,LC
653007,Pagodroma nivea,"(Forster, 1777)",225772,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pagodroma,Pagodroma nivea,t,,,LC
655774,Pelecanoides urinatrix,"(Gmelin, 1789)",344007,Species,Chordata,Aves,Procellariiformes,Pelecanoididae,Pelecanoides,Pelecanoides urinatrix,t,,,LC
662801,Pseudostichopus peripatus,"(Sluiter, 1901)",529641,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Pseudostichopus,Pseudostichopus peripatus,t,,,DD
663156,Pterodroma mollis,"(Gould, 1844)",137199,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma mollis,t,,,LC
670762,Sterna paradisaea,"Pontoppidan, 1763",137165,Species,Chordata,Aves,Charadriiformes,Sternidae,Sterna,Sterna paradisaea,t,,,LC
